,h,A
603,19.02758950426184,54.12517067422422
604,19.206372023379362,54.20774150983365
605,19.38515454249688,54.289865479033374
606,19.563937061614403,54.37154454650506
607,19.742719580731926,54.45278063867294
608,19.921502099849448,54.53357564405864
609,20.10028461896697,54.61393141362517
610,20.279067138084493,54.693849761110584
611,20.457849657202015,54.773332463351196
612,20.636632176319537,54.85238126059461
613,20.81541469543706,54.93099785680291
614,20.99419721455458,55.0091839199458
615,21.1729797336721,55.08694108228427
616,21.351762252789623,55.16427094064454
617,21.530544771907145,55.24117505668281
618,21.709327291024668,55.31765495714058
619,21.88810981014219,55.39371213409094
620,22.066892329259712,55.46934804517583
621,22.245674848377234,55.54456411383444
622,22.424457367494757,55.61936172952286
623,22.60323988661228,55.69374224792499
624,22.782022405729798,55.767706991155016
625,22.96080492484732,55.84125724795135
626,23.139587443964842,55.914394273862285
627,23.318369963082365,55.987119291423305
628,23.497152482199887,56.0594334903263
629,23.67593500131741,56.131338027580576
630,23.85471752043493,56.202834027666036
631,24.033500039552454,56.27392258267818
632,24.212282558669976,56.34460475246542
633,24.3910650777875,56.41488156475847
634,24.569847596905017,56.48475401529199
635,24.74863011602254,56.554223067918656
636,24.927412635140062,56.623289654715386
637,25.106195154257584,56.691954676082155
638,25.284977673375106,56.76021900083313
639,25.46376019249263,56.828083466280404
640,25.64254271161015,56.89554887831012
641,25.821325230727673,56.962616011451296
642,26.000107749845196,57.02928560893715
643,26.178890268962718,57.09555838275907
644,26.357672788080237,57.1614350137132
645,26.53645530719776,57.2269161514397
646,26.71523782631528,57.29200241445469
647,26.894020345432804,57.35669439017479
648,27.072802864550326,57.42099263493448
649,27.251585383667848,57.484897673996024
650,27.43036790278537,57.548410001552156
651,27.609150421902893,57.61153008072143
652,27.787932941020415,57.67425834353627
653,27.966715460137937,57.73659519092364
654,28.145497979255456,57.7985409926784
655,28.32428049837298,57.86009608742936
656,28.5030630174905,57.921260782597784
657,28.681845536608023,57.982035354348675
658,28.860628055725545,58.04242004753446
659,29.039410574843068,58.102415075631384
660,29.21819309396059,58.162020620668116
661,29.396975613078112,58.22123683314716
662,29.575758132195634,58.28006383195838
663,29.754540651313157,58.33850170428501
664,29.933323170430675,58.396550505502006
665,30.112105689548198,58.454210259066585
666,30.29088820866572,58.51148095640099
667,30.469670727783242,58.56836255676736
668,30.648453246900765,58.6248549871347
669,30.827235766018287,58.68095814203788
670,31.00601828513581,58.73667188342845
671,31.18480080425333,58.791996040517404
672,31.363583323370854,58.84693040960959
673,31.542365842488376,58.90147475392994
674,31.721148361605895,58.9556288034411
675,31.899930880723417,59.009392254652745
676,32.07871339984094,59.06276477042208
677,32.25749591895846,59.11574597974572
678,32.43627843807599,59.16833547754272
679,32.615060957193506,59.220532824428716
680,32.793843476311025,59.27233754648083
681,32.97262599542855,59.3237491349936
682,33.15140851454607,59.374767046225344
683,33.330191033663596,59.42539070113536
684,33.508973552781114,59.475619485111224
685,33.68775607189864,59.52545274768657
686,33.86653859101616,59.574889802248826
687,34.045321110133685,59.62392992573706
688,34.2241036292512,59.67257235832949
689,34.40288614836872,59.72081630312052
690,34.58166866748625,59.76866092578755
691,34.76045118660377,59.81610535424666
692,34.93923370572129,59.863148678297684
693,35.11801622483881,59.90978994925796
694,35.29679874395634,59.9560281795849
695,35.475581263073856,60.00186234248689
696,35.65436378219138,60.04729137152265
697,35.8331463013089,60.09231416018844
698,36.01192882042642,60.13692956149321
699,36.190711339543945,60.1811363875213
700,36.369493858661464,60.22493340898237
701,36.54827637777899,60.2683193547486
702,36.72705889689651,60.31129291137854
703,36.905841416014034,60.353852722627586
704,37.08462393513155,60.39599738894472
705,37.26340645424908,60.437725466955214
706,37.4421889733666,60.479035468929105
707,37.620971492484124,60.51992586223491
708,37.79975401160164,60.560395068778526
709,37.97853653071916,60.60044146442683
710,38.15731904983669,60.64006337841567
711,38.336101568954206,60.67925909274199
712,38.51488408807173,60.71802684153947
713,38.69366660718925,60.75636481043776
714,38.872449126306776,60.79427113590442
715,39.051231645424295,60.8317439045695
716,39.23001416454182,60.86878115253237
717,39.40879668365937,60.90538086465009
718,39.58757920277689,60.94154097380715
719,39.76636172189441,60.977259360166116
720,39.94514424101193,61.01253385039857
721,40.12392676012945,61.047362216895976
722,40.302709279246976,61.08174217695999
723,40.481491798364495,61.115671391971645
724,40.66027431748202,61.14914746653882
725,40.83905683659954,61.18216794762182
726,41.017839355717065,61.21473032363588
727,41.196621874834584,61.24683202353064
728,41.37540439395211,61.27847041584559
729,41.55418691306963,61.30964280774099
730,41.73296943218715,61.340346444003785
731,41.91175195130467,61.37057850602748
732,42.09053447042219,61.40033611076571
733,42.26931698953972,61.42961630965858
734,42.448099508657236,61.45841608753103
735,42.62688202777476,61.48673236146264
736,42.80566454689228,61.5145619796279
737,42.98444706600981,61.54190172010622
738,43.163229585127326,61.56874828966108
739,43.342012104244844,61.59509832248702
740,43.52079462336237,61.62094837892396
741,43.69957714247989,61.64629494413778
742,43.878359661597415,61.67113442676625
743,44.05714218071493,61.69546315752932
744,44.23592469983246,61.71927738780273
745,44.41470721894998,61.742573288154006
746,44.593489738067504,61.76534694683965
747,44.77227225718502,61.78759436826243
748,44.95105477630255,61.80931147138764
749,45.12983729542007,61.83049408811713
750,45.308619814537586,61.85113796161984
751,45.48740233365511,61.871238744617585
752,45.66618485277263,61.89079199762478
753,45.84496737189016,61.90979318714064
754,46.023749891007675,61.92823768379253
755,46.2025324101252,61.94612076042894
756,46.38131492924272,61.963437590160616
757,46.560097448360246,61.98018324434816
758,46.738879967477764,61.9963526905345
759,46.91766248659528,62.011940790320686
760,47.09644500571281,62.02694229718293
761,47.27522752483033,62.041351854229376
762,47.454010043947854,62.05516399189452
763,47.63279256306537,62.068373125569394
764,47.8115750821829,62.08097355316544
765,47.99035760130042,62.09295945260995
766,48.16914012041794,62.10432487927105
767,48.34792263953546,62.11506376330956
768,48.52670515865299,62.125169906955854
769,48.705487677770506,62.134636981708816
770,48.884270196888025,62.14345852545485
771,49.06305271600555,62.151627939503626
772,49.24183523512307,62.15913848553854
773,49.420617754240595,62.16598328247853
774,49.599400273358114,62.17215530324842
775,49.77818279247564,62.17764737145489
776,49.95696531159316,62.1824521579645
777,50.135747830710685,62.18656217738085
778,50.3145303498282,62.18996978441715
779,50.49331286894572,62.192667170160554
780,50.67209538806325,62.194646358224816
781,50.85087790718077,62.195899200787025
782,51.02966042629829,62.19641737450451
783,51.20844294541581,62.196192376307856
784,51.38722546453334,62.19521551906512
785,51.566007983650856,62.1934779271134
786,51.74479050276838,62.190970531652304
787,51.9235730218859,62.187684065994716
788,52.102355541003426,62.18360906066961
789,52.281138060120945,62.17873583837145
790,52.459920579238464,62.17305450875059
791,52.63870309835599,62.16655496303873
792,52.81748561747351,62.15922686850341
793,52.996268136591034,62.151059662725096
794,53.17505065570855,62.14204254769001
795,53.35383317482608,62.132164483692115
796,53.5326156939436,62.121414183036514
797,53.71139821306112,62.10978010353713
798,53.89018073217864,62.09725044180025
799,54.06896325129616,62.08381312628597
800,54.24774577041369,62.06945581013883
801,54.426528289531205,62.05416586377837
802,54.60531080864873,62.03793036724026
803,54.78409332776625,62.02073610225799
804,54.962875846883776,62.00256954407496
805,55.141658366001295,61.9834168529757
806,55.32044088511882,61.963263865525136
807,55.49922340423634,61.94209608550384
808,55.67800592335386,61.91989867452674
809,55.856788442471384,61.896656442332336
810,56.0355709615889,61.872353836728415
811,56.21435348070643,61.8469749331801
812,56.39313599982395,61.820503424025034
813,56.57191851894147,61.79292260729965
814,56.75070103805899,61.76421537516027
815,56.92948355717652,61.73436420188106
816,57.108266076294036,61.70335113141082
817,57.28704859541156,61.67115776446926
818,57.46583111452908,61.6377652451621
819,57.6446136336466,61.60315424709422
820,57.823396152764126,61.56730495895785
821,58.002178671881644,61.530197069572566
822,58.18096119099917,61.49180975235192
823,58.35974371011669,61.45212164917072
824,58.538526229234215,61.41111085360509
825,58.71730874835173,61.368754893516495
826,58.89609126746926,61.32503071294877
827,59.07487378658678,61.279914653305916
828,59.2536563057043,61.23338243377656
829,59.43243882482182,61.185409130968715
830,59.61122134393934,61.13596915771709
831,59.79000386305687,61.085036241022415
832,59.968786382174386,61.03258339908047
833,60.14756890129191,60.9785829173554
834,60.32635142040943,60.92300632365025
835,60.50513393952696,60.865824362123625
836,60.683916458644475,60.80700696619978
837,60.862698977762,60.746523230314835
838,61.04148149687952,60.684341380439754
839,61.22026401599704,60.62042874331594
840,61.399046535114564,60.554751714336305
841,61.57782905423208,60.48727572399973
842,61.75661157334961,60.417965202863094
843,61.93539409246713,60.34678354490961
